2,1532278
3,1153888
4,1011487
5,1348818
6,1024923
7,828937
8,1306593
9,1389594
10,994867
11,852640
12,835170
13,824187
14,778213
15,872422
16,862511
17,739426
18,829145
19,718084
20,830703
21,828417
22,921468
23,835619
24,817694
25,938869
26,827036
27,913193
28,795589
29,845052
30,779664
31,892887
32,795500
33,852592
34,878018
35,1063183
36,1249285
37,1177765
38,1030012
39,818484
40,881830
41,982342
42,909779
43,1126852
44,1036425
45,910927
46,762117
47,839086
48,787400
49,809317
50,890963
51,975831
52,791661
53,903369
54,855152
55,801030
56,808207
57,851241
58,855762
59,892144
60,1133259
61,1007781
62,907428
63,819835
64,840930
65,805271
66,781007
67,829159
68,861258
69,821987
70,893048
71,764444
72,848383
73,844490
74,828521
75,928910
76,824236
77,842403
78,886262
79,908020
80,828729
81,828249
82,800604
83,836742
84,809701
85,833097
86,884674
87,781005
88,812565
89,886819
90,847165
91,915134
92,921734
93,867211
94,817744
95,878258
96,824313
97,882503
98,943577
99,911301
